timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
0.00,0.775710,0.678573,0.652741,0.672481,0.553221,0.606735,0.518708,0.530641,0.517976,0.471056,0.537202,0.487476,0.450416,0.435250,0.462536,0.498287,0.494436,0.546659,0.591971,0.453816,0.514923,0.441736,0.559885,0.536516,0.593678,0.544658,0.653720,0.437988,0.587595,0.445886,0.627836,0.535796,0.657973,0.532370,0.721611,0.432302,0.657981,0.455202,0.678530,0.521822,0.707826,0.512103
0.25,0.779707,0.685408,0.655003,0.683427,0.555032,0.613539,0.523822,0.535744,0.517507,0.479855,0.536094,0.496357,0.447119,0.449095,0.469264,0.516850,0.506703,0.563557,0.590009,0.462984,0.508846,0.450033,0.558591,0.544954,0.597496,0.557344,0.651045,0.445935,0.580649,0.447100,0.624435,0.538061,0.658778,0.542989,0.720378,0.438705,0.652862,0.454266,0.674266,0.521487,0.705580,0.519399
0.50,0.783233,0.683896,0.656198,0.677021,0.557228,0.607187,0.521224,0.527020,0.510859,0.464364,0.540743,0.498609,0.451590,0.444669,0.476401,0.513191,0.514267,0.558283,0.595716,0.468337,0.515415,0.445865,0.564730,0.539932,0.601165,0.551493,0.656633,0.451995,0.588542,0.443466,0.630558,0.533809,0.662770,0.539140,0.725987,0.443568,0.661002,0.447583,0.678698,0.513653,0.705397,0.514658
0.75,0.779359,0.683260,0.652389,0.675280,0.553167,0.601736,0.517673,0.522526,0.506011,0.459507,0.543396,0.488156,0.456159,0.435826,0.468049,0.501519,0.501092,0.550694,0.598203,0.456712,0.518912,0.439282,0.562447,0.536698,0.597649,0.549696,0.660375,0.442320,0.590816,0.445121,0.632855,0.538344,0.666328,0.539324,0.729791,0.437634,0.662585,0.455943,0.682415,0.523599,0.713544,0.517656
1.00,0.776221,0.685170,0.650873,0.679783,0.552526,0.603248,0.514137,0.523859,0.488647,0.458659,0.539824,0.496031,0.452577,0.448251,0.471863,0.515426,0.508194,0.563627,0.594283,0.464753,0.514475,0.446918,0.561203,0.543660,0.600472,0.563311,0.655930,0.449199,0.584754,0.446393,0.627622,0.539784,0.662648,0.552003,0.725735,0.443494,0.657464,0.457563,0.677793,0.525580,0.709289,0.528849
1.25,0.781614,0.685647,0.655901,0.683699,0.554301,0.616068,0.518612,0.539656,0.510035,0.480340,0.537657,0.501700,0.444539,0.455768,0.466137,0.522188,0.506184,0.569731,0.591727,0.467399,0.507644,0.456523,0.556499,0.547570,0.597046,0.562863,0.652268,0.449498,0.579424,0.456424,0.623962,0.543903,0.659724,0.550740,0.719453,0.442836,0.650477,0.465211,0.672946,0.530276,0.704526,0.529009
1.50,0.780832,0.690937,0.649732,0.685828,0.547567,0.614494,0.508126,0.537045,0.492897,0.473459,0.536621,0.497254,0.442621,0.451899,0.462035,0.519844,0.501045,0.566655,0.591667,0.465047,0.504440,0.458698,0.553880,0.552788,0.594453,0.562967,0.651766,0.449805,0.575670,0.463216,0.621073,0.551376,0.656448,0.552819,0.718546,0.444391,0.647764,0.473682,0.671359,0.539328,0.704305,0.532932
1.75,0.780688,0.690790,0.655426,0.688602,0.554370,0.617683,0.519069,0.541447,0.511498,0.481419,0.537068,0.499894,0.444984,0.451797,0.465844,0.520808,0.506329,0.567853,0.592535,0.466869,0.506014,0.454437,0.551460,0.548902,0.591388,0.561978,0.654104,0.451596,0.577863,0.462928,0.621336,0.552745,0.656978,0.555380,0.722210,0.446398,0.650799,0.474228,0.673133,0.540101,0.706346,0.533934
2.00,0.779409,0.691166,0.655379,0.687456,0.557038,0.611660,0.529399,0.530735,0.525504,0.474698,0.541624,0.498118,0.448338,0.449192,0.470103,0.519628,0.510335,0.567335,0.596969,0.466315,0.512408,0.451071,0.558742,0.545992,0.597730,0.561313,0.658432,0.451192,0.584871,0.454643,0.627974,0.546746,0.663290,0.553514,0.726766,0.446012,0.656580,0.464951,0.677311,0.532764,0.708501,0.532521
2.25,0.779065,0.686454,0.653183,0.683359,0.554080,0.608908,0.525916,0.529032,0.524358,0.470991,0.540011,0.492476,0.448224,0.446767,0.469014,0.516099,0.509016,0.563611,0.595628,0.460103,0.510453,0.445740,0.556726,0.542457,0.594641,0.557144,0.657526,0.445238,0.584838,0.454431,0.628217,0.546652,0.662634,0.549572,0.725666,0.441288,0.659116,0.467819,0.680980,0.535678,0.711648,0.529633
2.50,0.784323,0.688923,0.655267,0.688113,0.555136,0.616490,0.522196,0.540875,0.515282,0.486587,0.537441,0.495026,0.443191,0.457893,0.469744,0.529920,0.512387,0.573991,0.592943,0.463097,0.504262,0.458065,0.556546,0.553451,0.596241,0.561652,0.654570,0.447997,0.576747,0.464531,0.623734,0.554193,0.658911,0.552146,0.721405,0.444612,0.650778,0.476152,0.675386,0.541893,0.707763,0.532238
2.75,0.782614,0.690147,0.653006,0.688713,0.554088,0.610989,0.519443,0.531507,0.501709,0.470826,0.541815,0.497394,0.444609,0.457839,0.460218,0.528589,0.499907,0.576668,0.595419,0.464069,0.502261,0.451841,0.543472,0.549709,0.581662,0.570011,0.654716,0.448124,0.573464,0.465508,0.618835,0.555651,0.656105,0.560008,0.718639,0.444612,0.645772,0.479096,0.673342,0.542985,0.710220,0.535051
3.00,0.783325,0.690091,0.655387,0.688694,0.555703,0.614537,0.518403,0.537787,0.501652,0.477088,0.541032,0.497076,0.444288,0.455915,0.460689,0.525549,0.501087,0.572063,0.595508,0.464176,0.503607,0.454140,0.548402,0.550304,0.587421,0.563966,0.655610,0.448786,0.574993,0.468266,0.621414,0.557027,0.659059,0.556560,0.720463,0.445003,0.647599,0.482818,0.673651,0.546733,0.709407,0.536023
3.25,0.780829,0.689402,0.650843,0.688403,0.550756,0.614423,0.515213,0.537277,0.501082,0.477230,0.536629,0.496423,0.442057,0.454763,0.460290,0.524953,0.499487,0.571098,0.592586,0.465220,0.502054,0.454800,0.547617,0.551298,0.586128,0.563993,0.653741,0.451034,0.573898,0.468059,0.620410,0.557715,0.657011,0.557006,0.719222,0.447956,0.647018,0.482853,0.672982,0.547774,0.707298,0.537719
3.50,0.782737,0.687643,0.653859,0.684616,0.555351,0.612094,0.520903,0.537373,0.508364,0.480544,0.541359,0.495183,0.447736,0.450798,0.461838,0.520131,0.499647,0.567283,0.596180,0.462744,0.505294,0.445993,0.547664,0.544577,0.584845,0.561463,0.656955,0.448047,0.576346,0.458653,0.619823,0.549978,0.655267,0.552779,0.722907,0.445701,0.648377,0.477975,0.673648,0.543123,0.708576,0.533982
3.75,0.778978,0.688094,0.649568,0.683636,0.550442,0.606793,0.518684,0.527725,0.505504,0.467270,0.537802,0.495014,0.446799,0.449581,0.462234,0.518778,0.500517,0.566522,0.594188,0.463134,0.506874,0.444715,0.547616,0.542200,0.584198,0.560455,0.655631,0.448007,0.580191,0.458230,0.622338,0.549713,0.657069,0.553751,0.721815,0.445029,0.653341,0.476456,0.677302,0.542431,0.710862,0.534844
4.00,0.778289,0.689674,0.652556,0.686204,0.553572,0.605504,0.528214,0.524352,0.524383,0.466106,0.542275,0.486591,0.447857,0.445824,0.465416,0.516935,0.505540,0.566793,0.599654,0.454764,0.509709,0.446124,0.552061,0.544547,0.591446,0.563772,0.661503,0.442126,0.581893,0.456116,0.622896,0.549716,0.659437,0.556319,0.728045,0.442310,0.654755,0.475690,0.677062,0.543261,0.711514,0.537480
4.25,0.783567,0.689352,0.652831,0.686483,0.552070,0.611315,0.520248,0.532008,0.514809,0.473959,0.537079,0.495475,0.444131,0.457341,0.466478,0.528399,0.508099,0.574154,0.593245,0.462187,0.503882,0.452212,0.549095,0.546885,0.588492,0.561616,0.655203,0.446565,0.577193,0.460577,0.621100,0.550571,0.657230,0.552741,0.721987,0.443646,0.649912,0.477223,0.673419,0.542411,0.707050,0.533975
4.50,0.782609,0.693465,0.654532,0.690388,0.552395,0.610329,0.519208,0.527610,0.511415,0.465686,0.541485,0.495379,0.443443,0.459888,0.466109,0.531669,0.507785,0.574598,0.596992,0.462590,0.502412,0.457553,0.551482,0.553368,0.593081,0.565001,0.657309,0.447086,0.573738,0.466932,0.622309,0.557018,0.661821,0.556952,0.723287,0.444035,0.646558,0.479430,0.673654,0.545078,0.710859,0.536140
4.75,0.783702,0.688739,0.653479,0.684639,0.550123,0.610566,0.510375,0.535721,0.494756,0.475287,0.539332,0.485891,0.441355,0.456644,0.461174,0.531062,0.502098,0.577167,0.595557,0.454543,0.500073,0.455615,0.546032,0.556183,0.586063,0.571788,0.656181,0.442267,0.569650,0.468503,0.615676,0.560837,0.653513,0.563103,0.720743,0.443319,0.641855,0.485893,0.667537,0.550985,0.704279,0.541908
5.00,0.784247,0.685427,0.655985,0.681989,0.554805,0.606441,0.516029,0.528283,0.498150,0.467624,0.542457,0.487274,0.445781,0.451799,0.465067,0.524547,0.505009,0.569448,0.597311,0.455485,0.504523,0.449639,0.552106,0.548436,0.591624,0.560249,0.657938,0.441381,0.575711,0.461056,0.623669,0.552332,0.661384,0.551232,0.723405,0.439682,0.649705,0.476192,0.676716,0.541939,0.713161,0.532381
5.25,0.790056,0.683912,0.664374,0.680467,0.562193,0.610249,0.524434,0.534793,0.514421,0.475671,0.541515,0.496791,0.451590,0.450385,0.476154,0.518684,0.516498,0.563094,0.596481,0.464898,0.511385,0.447487,0.560182,0.540368,0.599487,0.552417,0.657889,0.447919,0.585326,0.450123,0.628823,0.538228,0.663182,0.542094,0.726499,0.441548,0.659332,0.461220,0.681183,0.525480,0.712486,0.521045
5.50,0.786864,0.684382,0.661800,0.683250,0.560637,0.607193,0.525906,0.531307,0.509653,0.474752,0.544437,0.489563,0.451991,0.448145,0.470560,0.517040,0.510831,0.565439,0.598313,0.455732,0.510862,0.444232,0.555427,0.540958,0.594594,0.558176,0.658945,0.439809,0.582887,0.451327,0.625833,0.542714,0.660973,0.547295,0.725994,0.436243,0.656829,0.467889,0.680016,0.534317,0.712230,0.528246
5.75,0.785188,0.685656,0.656804,0.677706,0.561003,0.603280,0.526667,0.528791,0.509107,0.471360,0.548190,0.486439,0.457108,0.442905,0.475680,0.512039,0.513878,0.559169,0.603181,0.455777,0.517453,0.444610,0.562523,0.541662,0.601530,0.555949,0.664441,0.442210,0.588630,0.447723,0.630028,0.539230,0.664028,0.545643,0.732489,0.439049,0.662822,0.462898,0.682918,0.529364,0.714584,0.526292
6.00,0.782878,0.688341,0.658589,0.682787,0.559692,0.607306,0.523563,0.530084,0.509905,0.470985,0.546061,0.489731,0.455669,0.440575,0.472771,0.509196,0.510143,0.559045,0.603214,0.458169,0.521190,0.444332,0.565143,0.540696,0.602291,0.557490,0.665785,0.444553,0.595458,0.452153,0.636454,0.543471,0.669491,0.549566,0.735219,0.442550,0.669684,0.463447,0.688057,0.530461,0.716724,0.528361
