timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
0.00,0.543919,0.783850,0.482723,0.791256,0.417056,0.768320,0.376660,0.740775,0.387033,0.718696,0.434698,0.643785,0.366269,0.666099,0.390152,0.707754,0.415988,0.711551,0.465518,0.627964,0.392609,0.669322,0.423857,0.718250,0.449401,0.713511,0.496065,0.629512,0.427131,0.681764,0.453526,0.723554,0.477841,0.714841,0.522039,0.642920,0.463769,0.686522,0.478642,0.722578,0.502057,0.721302
0.25,0.550062,0.784388,0.487419,0.786340,0.421057,0.765094,0.379047,0.738732,0.391046,0.717686,0.441430,0.639143,0.374959,0.665210,0.391133,0.706379,0.413401,0.711838,0.471665,0.623389,0.399010,0.665472,0.424722,0.714938,0.449510,0.714130,0.502308,0.626123,0.433131,0.678987,0.456445,0.720957,0.481810,0.714401,0.529300,0.641385,0.469857,0.684334,0.482301,0.720423,0.505747,0.720177
0.50,0.549529,0.782112,0.488841,0.786689,0.422918,0.766421,0.379962,0.740036,0.389505,0.717569,0.441165,0.638747,0.374215,0.663330,0.393739,0.703972,0.416389,0.708668,0.471670,0.621829,0.400008,0.665634,0.429351,0.713911,0.453837,0.710232,0.502808,0.623149,0.435769,0.678132,0.461833,0.719247,0.486251,0.710677,0.529980,0.637012,0.472537,0.681072,0.487195,0.717073,0.510182,0.715641
0.75,0.544840,0.776925,0.484534,0.780238,0.419319,0.758847,0.378827,0.731094,0.390168,0.710766,0.439482,0.637425,0.374016,0.657200,0.392227,0.698459,0.414033,0.705039,0.470302,0.620804,0.398843,0.656002,0.424342,0.706175,0.447011,0.705794,0.501586,0.621265,0.433584,0.670550,0.457852,0.713329,0.483037,0.705968,0.529440,0.633030,0.470618,0.672125,0.482557,0.708196,0.505460,0.707148
1.00,0.529645,0.782283,0.468646,0.783887,0.409166,0.762081,0.367563,0.738213,0.366081,0.716316,0.427068,0.636499,0.365644,0.662446,0.382810,0.703585,0.403868,0.709440,0.454212,0.621288,0.384251,0.664221,0.410728,0.711242,0.434923,0.707278,0.481496,0.623879,0.411547,0.673981,0.434877,0.714125,0.460367,0.706046,0.504767,0.637707,0.442741,0.677272,0.455021,0.710714,0.480168,0.708937
1.25,0.535579,0.777817,0.468273,0.780087,0.405980,0.765208,0.363690,0.745119,0.362250,0.723969,0.415620,0.641571,0.356628,0.672350,0.377040,0.712582,0.399531,0.717684,0.441836,0.625716,0.374392,0.675556,0.404525,0.716776,0.428948,0.711719,0.468916,0.626783,0.403805,0.683419,0.431245,0.718657,0.456165,0.710781,0.493060,0.639563,0.436009,0.685425,0.450969,0.715415,0.474371,0.711683
1.50,0.534312,0.776438,0.466880,0.782092,0.404546,0.768842,0.362144,0.750561,0.352686,0.730494,0.415961,0.643435,0.360632,0.668470,0.360615,0.698278,0.365037,0.707416,0.438195,0.625518,0.371720,0.678421,0.398608,0.718737,0.422373,0.715913,0.462984,0.626754,0.398085,0.688405,0.424411,0.720701,0.450170,0.711604,0.486091,0.640400,0.429041,0.690622,0.443270,0.718672,0.466398,0.712877
1.75,0.538379,0.774502,0.478653,0.785159,0.412342,0.772159,0.367327,0.751521,0.365898,0.727705,0.419768,0.642544,0.360452,0.669887,0.375554,0.705415,0.392043,0.711694,0.444441,0.623908,0.377914,0.672929,0.407534,0.717017,0.430483,0.712752,0.472806,0.624511,0.409574,0.684988,0.435893,0.721956,0.459950,0.712015,0.499282,0.638480,0.443326,0.690602,0.458710,0.723347,0.482151,0.718512
2.00,0.540274,0.769081,0.478932,0.785831,0.413167,0.772880,0.371258,0.748640,0.367646,0.723527,0.418648,0.639109,0.354099,0.666237,0.377933,0.701393,0.402101,0.701124,0.447659,0.619949,0.378737,0.668448,0.411540,0.712283,0.436517,0.703802,0.479127,0.620400,0.414159,0.682343,0.442938,0.720688,0.467932,0.707208,0.508117,0.634230,0.450607,0.688461,0.468625,0.721294,0.493600,0.713465
2.25,0.525932,0.777871,0.461978,0.787398,0.399522,0.769430,0.357202,0.746434,0.348691,0.722258,0.407967,0.641819,0.347302,0.669161,0.364605,0.708118,0.386061,0.713568,0.432541,0.626121,0.361604,0.670239,0.387871,0.716206,0.411756,0.714459,0.458581,0.629204,0.389287,0.682530,0.413442,0.721725,0.439255,0.714757,0.482011,0.645223,0.421191,0.690033,0.435410,0.722796,0.460676,0.720348
