timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
0.00,0.535986,0.879904,0.455405,0.850134,0.397908,0.806632,0.358432,0.778042,0.372147,0.774720,0.472972,0.685664,0.377962,0.711713,0.393549,0.758210,0.425544,0.756201,0.505167,0.697854,0.392828,0.748473,0.412407,0.790644,0.444783,0.779261,0.521883,0.729896,0.419577,0.784330,0.435397,0.817691,0.461568,0.808074,0.526036,0.770665,0.448354,0.815204,0.459718,0.841498,0.484379,0.838371
0.25,0.532415,0.846687,0.448797,0.812282,0.397477,0.766486,0.362957,0.735451,0.356040,0.723255,0.461144,0.667235,0.398626,0.670946,0.381667,0.698235,0.382696,0.710283,0.484971,0.669028,0.389902,0.713689,0.391832,0.755836,0.413529,0.760870,0.499496,0.695444,0.405089,0.743512,0.414415,0.779838,0.436583,0.784420,0.503644,0.732723,0.430072,0.770984,0.437972,0.800060,0.460467,0.804567
0.50,0.473516,0.794509,0.402186,0.764782,0.356803,0.718224,0.322804,0.683079,0.319034,0.668765,0.429045,0.616584,0.345154,0.625945,0.349922,0.667219,0.376567,0.670208,0.455327,0.624987,0.349011,0.656383,0.358163,0.698330,0.386002,0.693452,0.466470,0.650843,0.366743,0.686953,0.377772,0.722863,0.402487,0.721539,0.466198,0.684157,0.388621,0.715298,0.396440,0.742564,0.420911,0.743905
0.75,0.504031,0.840962,0.427141,0.808609,0.383492,0.760561,0.354321,0.725456,0.340366,0.703705,0.451306,0.661880,0.386186,0.669997,0.372567,0.706039,0.377710,0.719107,0.476758,0.663907,0.384612,0.692524,0.380800,0.731646,0.396204,0.739567,0.492101,0.689092,0.401263,0.724480,0.403849,0.759751,0.421781,0.767198,0.494786,0.727155,0.422204,0.756638,0.423995,0.785789,0.443846,0.792850
1.00,0.483160,0.831326,0.409983,0.805357,0.356350,0.757609,0.323078,0.721351,0.338593,0.718343,0.438737,0.643887,0.347832,0.653118,0.351407,0.700489,0.377429,0.707066,0.471554,0.654152,0.359157,0.692691,0.369807,0.738232,0.401203,0.734626,0.487064,0.684783,0.382365,0.731183,0.392583,0.766703,0.420795,0.761292,0.491093,0.724402,0.410818,0.764049,0.416925,0.791582,0.442221,0.790167
1.25,0.460095,0.802425,0.387731,0.766698,0.344581,0.716060,0.311878,0.677891,0.307486,0.659288,0.425518,0.607721,0.335441,0.619868,0.341810,0.665211,0.370005,0.669325,0.450877,0.614561,0.339788,0.643483,0.350828,0.688679,0.379864,0.685432,0.462237,0.640133,0.356734,0.676458,0.367995,0.717499,0.392936,0.716206,0.460777,0.674436,0.376519,0.709539,0.386620,0.741306,0.414971,0.743231
1.50,0.470762,0.819146,0.392981,0.787882,0.346456,0.734793,0.315054,0.696298,0.317054,0.678095,0.427032,0.627878,0.348816,0.629753,0.345271,0.671218,0.363298,0.681665,0.453944,0.633394,0.351858,0.662838,0.358435,0.708391,0.383455,0.710076,0.468043,0.658890,0.367701,0.692856,0.375938,0.734178,0.398483,0.738837,0.468356,0.693686,0.388045,0.722931,0.394828,0.755315,0.419929,0.761709
1.75,0.460422,0.804757,0.391240,0.766611,0.344192,0.716026,0.308869,0.679247,0.310232,0.674308,0.433291,0.616973,0.341741,0.616548,0.340183,0.659729,0.366137,0.667134,0.461402,0.630403,0.346600,0.649358,0.350743,0.691223,0.380663,0.691289,0.472083,0.660212,0.364072,0.685341,0.369858,0.720478,0.396187,0.721564,0.470058,0.696962,0.387804,0.716640,0.389765,0.743840,0.412684,0.749109
2.00,0.444923,0.787469,0.370806,0.744049,0.335106,0.690089,0.307938,0.649635,0.306380,0.627521,0.418032,0.593232,0.338709,0.591389,0.332908,0.629388,0.350715,0.638359,0.443756,0.600310,0.337836,0.617484,0.342077,0.661668,0.367904,0.662888,0.454916,0.626094,0.349577,0.649323,0.356771,0.688549,0.381992,0.688668,0.449752,0.660296,0.364207,0.683074,0.369456,0.713033,0.395216,0.715382
2.25,0.456501,0.832294,0.382349,0.792458,0.335199,0.736930,0.301379,0.696082,0.303299,0.685012,0.425526,0.638114,0.340221,0.636596,0.335143,0.679200,0.355089,0.690178,0.452981,0.646580,0.339804,0.676401,0.344798,0.719955,0.373303,0.717690,0.464545,0.675499,0.355468,0.709088,0.363220,0.746699,0.388804,0.746663,0.461349,0.712063,0.376046,0.741378,0.381954,0.772345,0.407920,0.776130
2.50,0.436589,0.809095,0.370384,0.773125,0.327056,0.721437,0.293568,0.684847,0.293851,0.679828,0.419029,0.624683,0.330368,0.620471,0.328579,0.665127,0.354530,0.674569,0.447055,0.638750,0.330141,0.660338,0.335170,0.706583,0.367025,0.706487,0.456049,0.668696,0.344142,0.699331,0.350674,0.737367,0.378786,0.737326,0.452765,0.705421,0.365469,0.734150,0.370427,0.762223,0.397953,0.766022
2.75,0.441409,0.786409,0.368782,0.734452,0.334741,0.676978,0.307507,0.635105,0.298293,0.609250,0.424768,0.589565,0.345488,0.585809,0.334146,0.619396,0.346437,0.629144,0.445290,0.597039,0.338377,0.608133,0.338438,0.650892,0.361392,0.653974,0.452024,0.623526,0.345139,0.639558,0.349752,0.678579,0.374840,0.681585,0.442691,0.657708,0.356556,0.674429,0.362670,0.704385,0.390427,0.708783
3.00,0.436140,0.808805,0.372283,0.772208,0.326819,0.723131,0.291730,0.686873,0.297336,0.680730,0.423729,0.623951,0.324074,0.621458,0.325716,0.670239,0.353958,0.679740,0.449791,0.641508,0.328544,0.659695,0.335931,0.708705,0.368941,0.710803,0.458618,0.674238,0.343513,0.701565,0.349507,0.741404,0.377197,0.741177,0.455373,0.713142,0.366419,0.737123,0.370190,0.766431,0.396173,0.769540
3.25,0.431346,0.788683,0.362776,0.746874,0.324933,0.687398,0.299744,0.644089,0.305629,0.639978,0.425179,0.598999,0.334422,0.592893,0.326536,0.633467,0.348305,0.642412,0.448949,0.610128,0.327492,0.624383,0.328788,0.669150,0.359558,0.670970,0.454316,0.638168,0.336542,0.658279,0.342549,0.697237,0.370514,0.700692,0.444422,0.672036,0.352746,0.691488,0.357498,0.722177,0.384489,0.728794
3.50,0.432201,0.806106,0.361605,0.763853,0.321328,0.704092,0.293053,0.659947,0.303135,0.650227,0.419378,0.610589,0.331983,0.607019,0.327984,0.649593,0.349401,0.658512,0.445587,0.619482,0.333827,0.636981,0.338278,0.680602,0.365580,0.681265,0.455630,0.645908,0.347677,0.668895,0.353569,0.706477,0.377145,0.707752,0.448417,0.679044,0.361997,0.702679,0.366951,0.733800,0.392448,0.738745
3.75,0.445040,0.819205,0.370488,0.775351,0.330058,0.712674,0.304493,0.668178,0.312773,0.663070,0.431500,0.622118,0.347079,0.611831,0.337949,0.654617,0.356343,0.665952,0.459586,0.632191,0.346739,0.648436,0.346609,0.692181,0.374395,0.693065,0.470808,0.660747,0.360659,0.681474,0.363774,0.719348,0.389571,0.721984,0.465274,0.695641,0.378994,0.714571,0.381607,0.746447,0.407873,0.753863
4.00,0.438960,0.813045,0.370640,0.772177,0.326264,0.715837,0.296638,0.672388,0.307629,0.666834,0.433323,0.616635,0.335339,0.607420,0.332671,0.654019,0.360711,0.664051,0.461211,0.632349,0.337470,0.643536,0.341198,0.688949,0.374378,0.690184,0.468530,0.663732,0.352497,0.682666,0.357075,0.720289,0.384450,0.721467,0.461310,0.700999,0.372430,0.717575,0.373430,0.747741,0.397145,0.754608
