timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
0.00,0.732966,0.648293,0.660065,0.664710,0.598570,0.679065,0.554529,0.710133,0.530079,0.738092,0.585938,0.581300,0.542217,0.665874,0.568864,0.700985,0.586567,0.697819,0.636945,0.576981,0.593751,0.691902,0.618197,0.711416,0.632159,0.692440,0.683539,0.594928,0.644449,0.710010,0.662122,0.715854,0.671470,0.691308,0.724185,0.623492,0.691747,0.709172,0.695520,0.715971,0.698433,0.699060
0.25,0.744268,0.649545,0.672039,0.664984,0.610555,0.679285,0.565946,0.702969,0.538112,0.730982,0.581283,0.580768,0.545991,0.662200,0.574283,0.692955,0.589773,0.689589,0.631536,0.576200,0.599494,0.693691,0.620498,0.712474,0.630425,0.695678,0.679751,0.594715,0.648933,0.717689,0.666026,0.723639,0.670989,0.698675,0.723593,0.623254,0.697497,0.716666,0.698696,0.724454,0.696790,0.708636
0.50,0.759784,0.647074,0.684889,0.667596,0.618990,0.685362,0.572407,0.716336,0.544919,0.748709,0.584316,0.582361,0.551044,0.667007,0.581892,0.699503,0.599946,0.697366,0.632825,0.576264,0.602396,0.693793,0.628552,0.715048,0.640515,0.699441,0.679484,0.591809,0.651668,0.711433,0.672475,0.720366,0.679587,0.698377,0.723146,0.617135,0.698299,0.709922,0.704493,0.720845,0.707581,0.706982
0.75,0.758210,0.628597,0.686030,0.643215,0.622876,0.653398,0.583840,0.672641,0.563771,0.694137,0.603493,0.545289,0.566183,0.622016,0.596898,0.658142,0.614715,0.655761,0.654007,0.539207,0.622953,0.653766,0.648962,0.675635,0.660940,0.655986,0.700847,0.557708,0.670590,0.678600,0.691932,0.682452,0.699099,0.653117,0.741742,0.586733,0.714037,0.681357,0.722835,0.684001,0.728356,0.659916
1.00,0.749981,0.627894,0.673272,0.639282,0.608516,0.649117,0.568058,0.667958,0.551467,0.686194,0.595699,0.532975,0.550336,0.613482,0.583446,0.647453,0.603646,0.638492,0.646292,0.527940,0.603910,0.644052,0.633567,0.663252,0.649315,0.640691,0.690587,0.546990,0.653423,0.670669,0.677479,0.674964,0.686601,0.645207,0.729067,0.578836,0.698399,0.676519,0.710000,0.679333,0.717277,0.654387
1.25,0.754031,0.627892,0.681086,0.637257,0.619211,0.642282,0.580976,0.654446,0.565586,0.668848,0.585564,0.568426,0.543082,0.655351,0.569816,0.685144,0.588566,0.684859,0.633659,0.566250,0.595306,0.688627,0.614139,0.711857,0.625131,0.702531,0.681817,0.584333,0.648572,0.713530,0.667910,0.718569,0.674395,0.694283,0.725921,0.611651,0.701941,0.711893,0.708631,0.715232,0.708622,0.693592
1.50,0.749178,0.621492,0.675621,0.625818,0.612983,0.631481,0.572412,0.648258,0.550210,0.669499,0.580560,0.555218,0.538399,0.646202,0.564796,0.680011,0.580651,0.679219,0.630186,0.556146,0.594902,0.681265,0.617824,0.696961,0.629426,0.677270,0.680069,0.577454,0.646528,0.706723,0.669052,0.703296,0.677523,0.671149,0.724982,0.607931,0.697908,0.708212,0.705101,0.705888,0.705766,0.678036
1.75,0.732925,0.629539,0.662754,0.646503,0.604035,0.663577,0.564737,0.693342,0.548949,0.716316,0.585805,0.564704,0.547184,0.651654,0.575175,0.684966,0.592641,0.679499,0.637661,0.560412,0.599592,0.675360,0.622948,0.693163,0.634694,0.673122,0.685234,0.578944,0.650842,0.697247,0.667279,0.700512,0.672755,0.672826,0.726236,0.608919,0.697623,0.696208,0.699448,0.699876,0.697454,0.679986
2.00,0.734910,0.625762,0.663387,0.632141,0.604728,0.637755,0.566705,0.655648,0.555171,0.670019,0.581666,0.557329,0.541293,0.643880,0.567463,0.673144,0.584851,0.666914,0.630996,0.555915,0.591289,0.675937,0.610946,0.691985,0.621171,0.670917,0.677567,0.575971,0.641115,0.699466,0.658132,0.698845,0.663466,0.667046,0.718359,0.607935,0.690672,0.703864,0.694983,0.704128,0.692658,0.677797
2.25,0.732984,0.638637,0.663361,0.653063,0.604862,0.660344,0.563268,0.679041,0.544308,0.693208,0.583020,0.555513,0.548700,0.636090,0.576468,0.668548,0.593717,0.662795,0.633121,0.550967,0.595705,0.662769,0.617554,0.685120,0.629716,0.670484,0.679832,0.570291,0.645800,0.686902,0.664570,0.697280,0.673939,0.674326,0.720885,0.601243,0.692707,0.686057,0.697488,0.694348,0.699668,0.676857
