timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
0.00,0.131507,0.778220,0.182289,0.682782,0.166479,0.580516,0.115647,0.519743,0.062311,0.504136,0.168639,0.494582,0.055414,0.435016,0.024913,0.465416,0.031269,0.491196,0.111250,0.514310,-0.002446,0.446024,-0.021809,0.486713,-0.005927,0.514747,0.050525,0.550214,-0.042094,0.484290,-0.045541,0.527539,-0.020939,0.557689,-0.009135,0.592205,-0.062495,0.539984,-0.054754,0.565657,-0.035430,0.584074
0.25,0.131388,0.731670,0.197286,0.643233,0.194933,0.548166,0.154624,0.483104,0.104563,0.460777,0.170638,0.471272,0.074449,0.403634,0.047970,0.429551,0.052924,0.454576,0.111235,0.486437,0.016238,0.408288,-0.002166,0.443937,0.011100,0.473648,0.050732,0.519374,-0.024795,0.445570,-0.032028,0.481064,-0.013045,0.509850,-0.005173,0.563011,-0.052100,0.502285,-0.047237,0.520049,-0.030821,0.537819
0.50,0.126054,0.721865,0.188790,0.641422,0.183693,0.553134,0.139531,0.491654,0.092418,0.465168,0.170397,0.473465,0.072013,0.412658,0.048668,0.438597,0.056203,0.462488,0.112267,0.487745,0.013808,0.419139,-0.001268,0.455609,0.014734,0.483452,0.054410,0.519208,-0.023999,0.455250,-0.027574,0.491357,-0.006460,0.518802,0.001415,0.558452,-0.048528,0.507000,-0.041959,0.527596,-0.023973,0.544465
0.75,0.124601,0.707249,0.187285,0.629901,0.178686,0.538240,0.134939,0.477825,0.091707,0.449768,0.168879,0.470531,0.073263,0.394248,0.036507,0.397845,0.030037,0.406666,0.116578,0.483651,0.022851,0.392310,-0.008941,0.402282,-0.009970,0.416873,0.060996,0.510894,-0.011222,0.424896,-0.029827,0.436428,-0.025192,0.450900,0.005935,0.544120,-0.039353,0.478392,-0.044072,0.475651,-0.038068,0.475311
1.00,0.134033,0.711109,0.187486,0.630736,0.183236,0.542191,0.143394,0.482415,0.096458,0.455646,0.184274,0.470053,0.082633,0.398062,0.054250,0.427938,0.059158,0.456961,0.133631,0.483585,0.030623,0.405281,0.008697,0.437261,0.021367,0.463788,0.076937,0.512004,-0.007232,0.434266,-0.015936,0.471162,0.002989,0.500300,0.019106,0.548148,-0.033656,0.481223,-0.029180,0.505719,-0.011228,0.527703
1.25,0.143487,0.693427,0.198974,0.613503,0.185437,0.519792,0.131928,0.466198,0.077576,0.448662,0.183631,0.449183,0.077701,0.372335,0.053014,0.404699,0.064528,0.434835,0.127899,0.470266,0.026548,0.381931,0.007912,0.415842,0.023339,0.445339,0.069391,0.507926,-0.010917,0.419347,-0.017376,0.449868,0.001198,0.478060,0.012419,0.551957,-0.030896,0.482334,-0.022094,0.499704,-0.004876,0.518993
1.50,0.166877,0.709475,0.229033,0.631689,0.210425,0.543758,0.159140,0.489141,0.111987,0.461783,0.227399,0.458057,0.122701,0.390297,0.079909,0.404644,0.074996,0.423698,0.173613,0.461313,0.070661,0.375329,0.029120,0.395665,0.026877,0.419448,0.108536,0.482430,0.023825,0.386772,-0.007959,0.403073,-0.006968,0.424499,0.038101,0.514834,-0.020522,0.428652,-0.037774,0.420166,-0.037442,0.419568
1.75,0.182600,0.704640,0.240819,0.620482,0.219311,0.529536,0.168551,0.472442,0.117803,0.442545,0.222641,0.449646,0.118312,0.375476,0.075627,0.384903,0.067956,0.399758,0.169976,0.458752,0.064669,0.366258,0.021100,0.373826,0.017162,0.390166,0.108812,0.487745,0.020312,0.391497,-0.011743,0.396415,-0.011930,0.408494,0.044539,0.528046,-0.016968,0.449612,-0.032074,0.440999,-0.027857,0.438048
2.00,0.180075,0.708169,0.234893,0.621593,0.212419,0.535978,0.164689,0.480863,0.118080,0.452248,0.228922,0.453138,0.127781,0.381431,0.088838,0.406739,0.088456,0.434072,0.175842,0.453460,0.073964,0.368895,0.036426,0.400107,0.039703,0.432094,0.112236,0.473271,0.024885,0.381936,-0.002095,0.408085,0.006020,0.436212,0.043782,0.505791,-0.020769,0.421379,-0.036494,0.418004,-0.029292,0.420008
2.25,0.188407,0.738855,0.235565,0.640977,0.210508,0.548217,0.157197,0.492034,0.100039,0.468300,0.221114,0.470544,0.112140,0.392348,0.073166,0.415889,0.071282,0.440222,0.167820,0.477440,0.061634,0.387878,0.025273,0.415283,0.028710,0.441730,0.107380,0.503947,0.017604,0.410492,-0.005441,0.432368,0.004455,0.456062,0.044961,0.541977,-0.019002,0.462941,-0.028990,0.467088,-0.018373,0.474522
2.50,0.176694,0.719601,0.245075,0.629635,0.235640,0.537261,0.192927,0.475289,0.142633,0.449247,0.243678,0.454873,0.143434,0.377065,0.107125,0.400192,0.108651,0.428246,0.187602,0.458921,0.082770,0.362926,0.046021,0.390852,0.051476,0.423161,0.120617,0.482665,0.032538,0.380933,0.004166,0.403000,0.011666,0.430857,0.049461,0.518904,-0.018618,0.431261,-0.034042,0.428981,-0.026039,0.435892
2.75,0.174132,0.688131,0.241656,0.607658,0.232023,0.522244,0.198523,0.464928,0.159799,0.430527,0.235513,0.437835,0.143877,0.360761,0.096757,0.361139,0.084612,0.374716,0.183434,0.443995,0.086928,0.341819,0.038570,0.335419,0.026904,0.346571,0.117684,0.468796,0.034424,0.361175,-0.007787,0.349811,-0.019057,0.351809,0.046625,0.504971,-0.018359,0.416231,-0.044291,0.386504,-0.051203,0.367931
3.00,0.176349,0.694792,0.245442,0.607958,0.234796,0.514096,0.190526,0.452150,0.144066,0.424703,0.233036,0.442434,0.129673,0.357680,0.079645,0.353335,0.067219,0.362477,0.176745,0.457176,0.071396,0.350295,0.023074,0.340005,0.013704,0.346454,0.110735,0.488811,0.024154,0.378518,-0.016709,0.363892,-0.024956,0.361427,0.043793,0.528882,-0.019164,0.435568,-0.043887,0.404220,-0.047308,0.382960
3.25,0.186241,0.693478,0.248573,0.603869,0.236392,0.514648,0.197791,0.456667,0.157889,0.426875,0.235539,0.438018,0.130180,0.364227,0.082884,0.371192,0.074742,0.387403,0.185498,0.449546,0.073149,0.349034,0.021687,0.348193,0.011687,0.361367,0.122907,0.478806,0.026426,0.371698,-0.020911,0.361585,-0.032705,0.362792,0.055069,0.518542,-0.015406,0.427372,-0.045256,0.399154,-0.053217,0.380424
3.50,0.202901,0.717173,0.261306,0.631536,0.242899,0.538501,0.192802,0.482746,0.144063,0.457177,0.242468,0.467617,0.131588,0.376939,0.075602,0.370100,0.056500,0.377183,0.195478,0.483890,0.075602,0.370482,0.024394,0.366506,0.013322,0.380461,0.135315,0.516222,0.036074,0.402227,-0.010552,0.392515,-0.025357,0.396155,0.073057,0.556580,-0.002288,0.462438,-0.034404,0.437431,-0.045685,0.425020
