timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
1.25,0.568777,0.923158,0.564877,0.880292,0.538278,0.848473,0.500237,0.835837,0.475508,0.834267,0.537240,0.787274,0.467455,0.805540,0.461873,0.832146,0.473934,0.844733,0.518419,0.787396,0.449729,0.814113,0.450173,0.841511,0.462995,0.853360,0.495506,0.805871,0.431607,0.834460,0.436720,0.862427,0.451727,0.874717,0.473081,0.833953,0.417658,0.862147,0.423878,0.886591,0.440517,0.895889
1.50,0.768294,0.879917,0.709160,0.864880,0.662695,0.823518,0.621952,0.792671,0.604637,0.767739,0.717681,0.726630,0.627354,0.733801,0.624899,0.769865,0.639674,0.781822,0.730644,0.718631,0.624550,0.731930,0.629180,0.769141,0.650659,0.777545,0.734146,0.724678,0.630912,0.738719,0.638850,0.775782,0.661613,0.784871,0.726756,0.739885,0.641632,0.755470,0.645650,0.785696,0.666791,0.792734
1.75,0.791069,0.863638,0.767599,0.836642,0.729922,0.801598,0.683163,0.783932,0.653452,0.775086,0.771499,0.732577,0.681256,0.754935,0.672092,0.786437,0.682637,0.803135,0.766419,0.731247,0.671548,0.759609,0.670856,0.795128,0.684786,0.812256,0.752823,0.745096,0.664413,0.771312,0.665098,0.807304,0.679183,0.824404,0.731473,0.767697,0.666179,0.781873,0.663235,0.805709,0.671908,0.817670
2.00,0.790906,0.876934,0.727778,0.862397,0.694620,0.811816,0.684131,0.766527,0.680915,0.733405,0.758286,0.743883,0.705786,0.731107,0.703029,0.763655,0.719416,0.782987,0.785675,0.737045,0.719343,0.729832,0.717311,0.769748,0.734843,0.787288,0.806867,0.739717,0.738440,0.733003,0.734085,0.772668,0.750240,0.793468,0.820367,0.749027,0.757348,0.739346,0.745437,0.770449,0.754094,0.791386
2.25,0.750559,0.833981,0.691205,0.814595,0.652146,0.785897,0.617168,0.762100,0.591896,0.742903,0.702918,0.716266,0.646171,0.743119,0.644937,0.769671,0.656693,0.774530,0.727010,0.718607,0.653582,0.752053,0.654914,0.781536,0.668991,0.789300,0.742940,0.732167,0.669991,0.764551,0.669277,0.795925,0.681913,0.804727,0.750165,0.755238,0.693947,0.765569,0.670573,0.779630,0.658397,0.783226
2.50,0.700678,0.913628,0.653139,0.880863,0.606738,0.827009,0.563491,0.793518,0.537882,0.779017,0.661282,0.736587,0.560805,0.769543,0.561497,0.809553,0.583605,0.823077,0.667444,0.748641,0.557827,0.786137,0.562292,0.821780,0.584985,0.839914,0.660621,0.779033,0.555211,0.807772,0.564787,0.845787,0.587895,0.864636,0.641675,0.820112,0.561157,0.813339,0.522712,0.810234,0.496466,0.798784
2.75,0.688168,0.891986,0.618586,0.874435,0.573697,0.827914,0.561280,0.782943,0.563981,0.752924,0.637260,0.776906,0.600537,0.753881,0.581123,0.763244,0.572753,0.781711,0.667380,0.759340,0.617755,0.747739,0.595909,0.762051,0.588489,0.784604,0.690939,0.753134,0.634590,0.740661,0.611021,0.757689,0.604773,0.783227,0.709317,0.755702,0.651668,0.744283,0.623588,0.754444,0.613173,0.771552
3.00,0.665154,0.901537,0.603561,0.872792,0.561946,0.826156,0.524744,0.788760,0.513522,0.766706,0.615852,0.735904,0.530415,0.756204,0.532257,0.790709,0.554670,0.798300,0.628789,0.730496,0.531376,0.762240,0.540144,0.795641,0.564125,0.807345,0.632381,0.741591,0.536307,0.772817,0.545015,0.807750,0.567954,0.819924,0.625971,0.762497,0.554812,0.771798,0.544018,0.790662,0.545859,0.795848
3.25,0.635067,0.898554,0.566227,0.877629,0.522196,0.826141,0.489501,0.782269,0.473317,0.748733,0.594417,0.731439,0.509973,0.743962,0.506194,0.779649,0.526131,0.793139,0.613213,0.725032,0.511114,0.748021,0.512508,0.787933,0.534150,0.803702,0.622467,0.735831,0.522148,0.756379,0.521809,0.795318,0.541586,0.812137,0.620802,0.758005,0.546846,0.767231,0.538712,0.792771,0.547532,0.804831
3.50,0.694281,0.890102,0.694720,0.837817,0.664137,0.785335,0.620457,0.764086,0.595621,0.764619,0.684978,0.725230,0.608868,0.736341,0.588033,0.767738,0.589438,0.789248,0.669050,0.733922,0.590239,0.748224,0.576786,0.776328,0.580480,0.796595,0.645769,0.757771,0.571751,0.765264,0.565679,0.792371,0.575257,0.814350,0.616943,0.789737,0.562088,0.772191,0.534665,0.759447,0.520000,0.747078
3.75,0.678027,0.892996,0.624418,0.861992,0.585771,0.813969,0.555544,0.774534,0.546372,0.749310,0.633595,0.738590,0.556967,0.751399,0.560615,0.783044,0.582151,0.793108,0.644559,0.737400,0.560660,0.757362,0.564403,0.784799,0.584794,0.796972,0.645724,0.748080,0.565663,0.766166,0.569294,0.795521,0.586958,0.810234,0.639567,0.766396,0.583857,0.764698,0.575642,0.780338,0.578957,0.787386
4.00,0.679689,0.904955,0.645538,0.863631,0.598172,0.806620,0.547707,0.777349,0.518976,0.766528,0.635686,0.725412,0.536531,0.759475,0.527673,0.794597,0.537350,0.807424,0.636619,0.742056,0.532925,0.781673,0.537437,0.814336,0.556690,0.829517,0.629171,0.776304,0.531750,0.809131,0.544050,0.842126,0.568158,0.857827,0.613085,0.820386,0.536637,0.814792,0.502232,0.811038,0.479070,0.801090
4.25,0.707730,0.887229,0.640426,0.885158,0.596449,0.842823,0.575989,0.796432,0.577376,0.762880,0.641390,0.769597,0.586620,0.779901,0.591784,0.810692,0.611811,0.823580,0.664144,0.758784,0.600712,0.778352,0.608886,0.810576,0.629041,0.822360,0.682950,0.763339,0.618274,0.781143,0.621110,0.815943,0.637697,0.830886,0.696275,0.777727,0.642747,0.773750,0.623894,0.777850,0.618354,0.774893
4.50,0.705228,0.896015,0.633817,0.885614,0.595978,0.832930,0.583399,0.787219,0.598769,0.754871,0.666462,0.765958,0.613073,0.748461,0.608399,0.779651,0.622238,0.795350,0.687081,0.756170,0.616375,0.745740,0.613327,0.785746,0.632084,0.797404,0.702696,0.755272,0.624258,0.742443,0.620256,0.785909,0.641083,0.803181,0.709387,0.761166,0.636399,0.752941,0.622789,0.784576,0.632727,0.803289
4.75,0.684588,0.903717,0.631051,0.875999,0.587937,0.820283,0.548804,0.783966,0.533620,0.765752,0.652202,0.724172,0.555040,0.751392,0.558143,0.792433,0.580693,0.804118,0.661975,0.734352,0.551493,0.764966,0.560679,0.804422,0.583969,0.821955,0.659508,0.762696,0.551665,0.788402,0.562489,0.827039,0.586150,0.843401,0.641976,0.801365,0.561453,0.795583,0.523899,0.793512,0.497232,0.780432
5.00,0.727065,0.884690,0.667355,0.878052,0.624424,0.842051,0.600259,0.801958,0.595831,0.767728,0.681494,0.767385,0.619290,0.766768,0.608366,0.791889,0.615334,0.808928,0.699598,0.750974,0.627924,0.758730,0.619658,0.785519,0.629290,0.801369,0.711102,0.747960,0.640682,0.757163,0.630590,0.787750,0.640438,0.808947,0.717007,0.754014,0.656921,0.759701,0.645732,0.788654,0.653026,0.810338
5.25,0.694831,0.907362,0.625179,0.887499,0.579573,0.832670,0.561625,0.780195,0.576469,0.736951,0.644951,0.736078,0.588778,0.725281,0.589208,0.770588,0.606022,0.790341,0.675369,0.731676,0.604533,0.725871,0.607265,0.778666,0.629524,0.789829,0.701423,0.739282,0.623861,0.735613,0.625413,0.785583,0.651259,0.799622,0.717819,0.756046,0.639948,0.753585,0.633075,0.794651,0.653523,0.813277
5.50,0.655083,0.925073,0.580925,0.900415,0.537975,0.838924,0.500178,0.791310,0.481347,0.757374,0.608141,0.719833,0.503985,0.760801,0.517151,0.803814,0.547689,0.805731,0.625424,0.730600,0.498467,0.777945,0.520103,0.817400,0.553985,0.822680,0.628808,0.763570,0.503811,0.804812,0.525255,0.843618,0.557432,0.848696,0.617605,0.810837,0.522370,0.812734,0.482347,0.818905,0.454700,0.807671
5.75,0.705634,0.893829,0.635755,0.884547,0.598796,0.837966,0.582364,0.785401,0.575233,0.741807,0.676937,0.756877,0.612442,0.736545,0.589187,0.757697,0.583027,0.777553,0.700579,0.737431,0.618988,0.732141,0.602123,0.766936,0.603758,0.794950,0.714012,0.733482,0.628938,0.732882,0.613400,0.770404,0.618786,0.802406,0.717593,0.738143,0.641389,0.740322,0.621887,0.773194,0.623221,0.800741
6.00,0.679438,0.902379,0.610989,0.883040,0.563372,0.827271,0.540332,0.772588,0.543036,0.731881,0.616868,0.757524,0.568890,0.731977,0.561044,0.757246,0.569877,0.777498,0.646787,0.743520,0.588930,0.726507,0.579417,0.756380,0.592922,0.774739,0.674039,0.740721,0.611018,0.720027,0.595268,0.751059,0.606210,0.775946,0.694201,0.747206,0.631972,0.727932,0.601936,0.748498,0.592936,0.770856
6.25,0.702237,0.910975,0.626176,0.906479,0.579389,0.853279,0.547260,0.807508,0.524116,0.767664,0.652714,0.742833,0.569849,0.755092,0.575992,0.796048,0.602680,0.803383,0.674127,0.734842,0.574103,0.752030,0.586553,0.800056,0.611962,0.809480,0.685667,0.741921,0.584251,0.759588,0.592452,0.809437,0.618219,0.821215,0.684199,0.758772,0.597365,0.771408,0.596643,0.813517,0.616837,0.827213
